user_id,series_id,interaction_type,rating,completion_pct,timestamp
U1,66732,watch,4.9,90,2024-06-18
U1,1405,watch,3.0,26,2024-05-29
U1,225171,watch,2.5,27,2024-01-27
U1,200875,watch,4.4,69,2024-07-25
U1,210318,watch,4.5,66,2024-07-19
U1,240459,watch,3.3,29,2024-07-28
U1,34307,watch,3.7,28,2024-08-15
U1,1434,like,4.4,98,2024-08-22
U1,2734,like,4.8,82,2024-10-04
U1,549,watch,3.2,76,2024-04-29
U1,1622,like,4.3,87,2024-10-15
U1,114868,watch,3.9,75,2024-07-04
U1,279601,watch,3.9,74,2024-08-21
U1,1408,watch,4.1,42,2024-05-06
U1,1416,watch,3.7,76,2024-03-24
U1,1396,watch,3.4,32,2024-06-01
U1,79744,watch,3.7,31,2024-01-03
U1,456,watch,3.9,37,2024-04-24
U2,549,watch,3.2,70,2024-03-17
U2,200875,watch,4.3,49,2024-10-07
U2,1396,watch,2.6,76,2024-02-24
U2,114868,watch,3.3,28,2024-02-24
U2,1405,like,4.7,84,2024-06-20
U2,279601,watch,3.4,28,2024-06-25
U2,34307,watch,4.4,96,2024-03-13
U2,1408,watch,4.4,35,2024-10-18
U2,1416,like,4.9,81,2024-01-11
U2,1434,watch,4.3,62,2024-06-05
U2,1622,watch,4.9,26,2024-06-28
U2,4614,watch,4.2,85,2024-04-01
U2,79744,watch,3.3,36,2024-06-19
U2,66732,watch,4.2,43,2024-07-09
U2,240459,watch,4.0,53,2024-08-26
U2,2734,watch,4.7,54,2024-04-12
U3,1622,watch,4.8,99,2024-01-04
U3,4614,watch,3.8,51,2024-03-25
U3,1405,like,4.4,94,2024-05-28
U3,549,watch,3.1,21,2024-09-17
U3,1434,watch,4.6,73,2024-06-11
U3,1399,watch,4.7,84,2024-03-24
U3,34307,watch,3.3,38,2024-09-15
U3,200875,watch,3.4,39,2024-08-20
U3,1416,watch,4.8,74,2024-07-25
U3,279601,watch,4.7,76,2024-02-22
U3,79744,like,4.7,98,2024-01-25
U3,1408,watch,4.9,78,2024-10-18
U3,114868,watch,3.7,54,2024-03-11
U3,225171,watch,4.7,24,2024-07-07
U4,1405,watch,2.8,69,2024-04-21
U4,114868,like,4.5,95,2024-04-24
U4,549,watch,3.7,48,2024-02-04
U4,279601,watch,4.0,21,2024-03-14
U4,2734,watch,4.0,44,2024-09-13
U4,1399,watch,3.0,37,2024-03-04
U4,1416,watch,4.9,27,2024-08-04
U4,1396,watch,4.9,42,2024-04-02
U4,66732,like,4.1,84,2024-01-21
U4,1408,watch,4.4,100,2024-07-24
U4,210318,watch,3.7,24,2024-06-10
U5,456,watch,3.6,75,2024-04-23
U5,225171,watch,3.1,23,2024-08-26
U5,66732,watch,4.4,85,2024-10-03
U5,34307,watch,4.9,68,2024-09-24
U5,1396,watch,4.8,56,2024-05-09
U5,1434,watch,2.7,37,2024-06-03
U5,279601,like,4.2,81,2024-08-07
U5,1416,watch,4.9,83,2024-08-18
U6,210318,watch,4.7,98,2024-02-09
U6,66732,watch,3.8,66,2024-07-27
U6,1399,watch,3.6,46,2024-06-22
U6,34307,watch,2.7,28,2024-10-02
U6,456,watch,3.4,34,2024-04-03
U6,1622,like,4.6,85,2024-04-07
U6,225171,watch,3.3,49,2024-07-24
U6,1408,watch,4.5,57,2024-07-19
U6,1396,watch,4.5,32,2024-01-19
U6,4614,watch,4.0,52,2024-04-13
U7,1396,watch,3.9,42,2024-10-05
